college_id,college_name,division,district,address,coordinates_lat,coordinates_lng,website,contact_phone,contact_email,establishment_year,college_type,ug_programs,pg_programs,degree_names,course_durations,eligibility_criteria,cutoff_details,medium_of_instruction,facilities,hostel_available,hostel_fee_range_inr,library_details,lab_details,sports_available,fees_annual_range_inr,career_paths_private,career_paths_government,entrepreneurship_options,higher_education_options,data_source
KMR-011,Government Degree College Eidgah,Kashmir,Srinagar,"Eidgah, Srinagar",34.084,74.797,,,gdceidgah@gmail.com,2018,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Limited,"₹5,000-₹7,000",Local employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
KMR-012,Government Women College Baramulla,Kashmir,Baramulla,Baramulla,34.3,74.466,,01952-234985,wcbaramulla@gmail.com,1975,Women's College,Yes,Yes,"BA, B.Sc, B.Com",3 years,10+2 (Female only),Merit-based,English/Hindi/Urdu,"Library, Labs, Women facilities",Yes,"₹15,000-₹25,000",Women's library,Science labs,Yes,"₹5,500-₹8,000",Women employment,JKSSB Teacher,Women services,"MA, M.Sc, M.Com",J&K Higher Education Department
KMR-013,Government Degree College Baramulla,Kashmir,Baramulla,Baramulla,34.3,74.466,https://www.gdcbaramulla.edu.in,01952-234214,principal@baramullacollege.net,1970,General Degree,Yes,Limited,"BA, B.Sc, B.Com, BBA, BCA",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Labs, Computer labs, Sports",Yes,"₹20,000-₹25,000",Central library,Science/IT labs,Yes,"₹6,000-₹9,000","IT support, sales",JKSSB,"Tutoring, centers","MA, M.Sc, MCA, MBA",J&K Higher Education Department
KMR-014,Government Degree College Sopore,Kashmir,Baramulla,Sopore,34.303,74.466,,01954-222262,soporecollege@gmail.com,1975,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic labs, Classrooms, Sports",Limited,,Department library,Basic labs,Yes,"₹5,500-₹7,000","Retail, services",JKSSB Clerk/Teacher,Small business,"MA, M.Sc",J&K Higher Education Department
KMR-015,Government Women College Sopore,Kashmir,Baramulla,Sopore,34.303,74.466,,01954-225046,gdcw.sopore@gmail.com,1980,Women's College,Yes,No,"BA, B.Sc, B.Com",3 years,10+2 (Female only),Merit-based,English/Hindi/Urdu,"Library, Labs, Women facilities",Yes,"₹12,000-₹20,000",Women's library,Basic labs,Yes,"₹5,000-₹7,500",Women employment,JKSSB Teacher,Women business,"MA, M.Sc",J&K Higher Education Department
KMR-016,Government Degree College Pattan,Kashmir,Baramulla,Pattan,34.25,74.4,,01954-231244,gdcpattan@yahoo.com,1985,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic labs",No,,Department library,Basic labs,Yes,"₹5,000-₹7,000",Local employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
KMR-017,Government Degree College Uri,Kashmir,Baramulla,Uri,34.09,74.089,,01956-244111,uricollege@gmail.com,1990,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Border area employment,JKSSB,Local services,"MA, M.Sc",J&K Higher Education Department
KMR-018,Government Degree College Tangmarg,Kashmir,Baramulla,Tangmarg,34.1,74.3,,,principaltmg@gmail.com,1995,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Tourism related,JKSSB,Tourism business,"MA, M.Sc",J&K Higher Education Department
KMR-019,Government Degree College Hadipora,Kashmir,Baramulla,Hadipora,34.28,74.45,,,dr.b.a.sodagar@yahoo.com,2000,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Local employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
KMR-020,Government Degree College Thindim Kreeri,Kashmir,Baramulla,Thindim Kreeri,34.2,74.35,,,gdcthindimkreeri@gmail.com,2005,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Rural employment,JKSSB,Rural business,"MA, M.Sc",J&K Higher Education Department
KMR-021,Government Degree College Boniyar,Kashmir,Baramulla,Boniyar,34.15,74.25,,,boniyarcollege@gmail.com,2008,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Rural employment,JKSSB,Rural business,"MA, M.Sc",J&K Higher Education Department
KMR-022,Government Degree College Danghiwacha,Kashmir,Baramulla,Danghiwacha,34.18,74.28,,,gdcdangiwacha786@gmail.com,2010,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Rural employment,JKSSB,Rural business,"MA, M.Sc",J&K Higher Education Department
KMR-023,Government Degree College Bomai,Kashmir,Baramulla,Bomai,34.12,74.2,,,principalgdcbomai@gmail.com,2015,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Rural employment,JKSSB,Rural business,"MA, M.Sc",J&K Higher Education Department
KMR-024,Government Degree College (Boys) Anantnag,Kashmir,Anantnag,Anantnag,33.728,75.147,https://gdcboysang.ac.in,0193-2222308,principal@gdcboysang.ac.in,1965,General Degree,Yes,Yes,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi,"Library, Labs, Computer labs, Sports",Yes,"₹15,000-₹20,000",Central library,Science/IT labs,Yes,"₹5,500-₹8,000","Banking, retail",JKSSB,Local services,"MA, M.Sc, M.Com",J&K Higher Education Department
KMR-025,Government Women College Anantnag,Kashmir,Anantnag,Anantnag,33.728,75.147,,0193-2222385,principalwcanantnag@gmail.com,1970,Women's College,Yes,Yes,"BA, B.Sc, B.Com",3 years,10+2 (Female only),Merit-based,English/Hindi,"Library, Labs, Computer labs, Sports",Yes,"₹12,000-₹18,000",Department library,Science labs,Yes,"₹5,000-₹8,000","Retail, NGOs",JKSSB,Women services,"MA, M.Sc, M.Com",J&K Higher Education Department
KMR-026,Government Degree College Dooru,Kashmir,Anantnag,Dooru,33.7,75.1,,01932-230157,principal.gdcdooru@gmail.com,1980,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic labs",No,,Department library,Basic labs,Yes,"₹5,000-₹7,000",Local employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
KMR-027,Government Degree College Bijbahera,Kashmir,Anantnag,Bijbahera,33.8,75.15,,01932-233263,principalbijbehara@gmail.com,1985,General Degree,Yes,Limited,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Labs, Sports",No,,Department library,Basic labs,Yes,"₹5,000-₹7,500",Local employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
KMR-028,Government Degree College Kokernag,Kashmir,Anantnag,Kokernag,33.65,75.25,,01932-244167,gdckokernag@gmail.com,1990,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Tourism related,JKSSB,Tourism business,"MA, M.Sc",J&K Higher Education Department
KMR-029,Government Degree College Uttersoo,Kashmir,Anantnag,Uttersoo,33.75,75.2,www.gdcut.ac.in,01932-224084,gdcuttersoo@gmail.com,1995,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Computer lab",No,,Department library,Basic labs,Yes,"₹5,000-₹7,000",Local employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
KMR-030,Government Degree College Vailoo-Larnoo,Kashmir,Anantnag,Vailoo-Larnoo,33.68,75.18,,,gdclarnoo@gmail.com,2000,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Rural employment,JKSSB,Rural business,"MA, M.Sc",J&K Higher Education Department
KMR-031,Government Degree College Chatisinghpora,Kashmir,Anantnag,Chatisinghpora,33.72,75.12,,,gdcchatti@gmail.com,2005,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Rural employment,JKSSB,Rural business,"MA, M.Sc",J&K Higher Education Department
KMR-032,Government Degree College Verinag,Kashmir,Anantnag,Verinag,33.55,75.15,,,gdcverinag@gmail.com,2008,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Tourism related,JKSSB,Tourism business,"MA, M.Sc",J&K Higher Education Department
KMR-033,Government Degree College Mattan,Kashmir,Anantnag,Mattan,33.7,75.05,,,principalgdcmattan@gmail.com,2010,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Local employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
KMR-034,Government Degree College Qazigund,Kashmir,Anantnag,Qazigund,33.59,75.14,,,gdcqazigund@gmail.com,2015,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Local employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
KMR-035,Government Degree College Budgam,Kashmir,Budgam,Budgam,34.031,74.733,,01951-256444,principalsmdc@yahoo.com,1988,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic labs",No,,Department library,Basic labs,Yes,"₹5,000-₹7,000",Local employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
KMR-036,Government Degree College Beerwah,Kashmir,Budgam,Beerwah,34.08,74.7,,01951-275277,gdcbeerwah@gmail.com,1992,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Local employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
KMR-037,Government Degree College Khansahib,Kashmir,Budgam,Khansahib,34.1,74.75,,01951-277294,gdckhansahib@gmail.com,1995,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Local employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
KMR-038,Government Degree College Charar-i-Sharief,Kashmir,Budgam,Charar-i-Sharief,34.2,74.8,,01951-25340,gdc.chrarisharief@gmail.com,2000,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Local employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
KMR-039,Government Degree College Magam,Kashmir,Budgam,Magam,34.15,74.72,,01951-272153,principalgdcmag@gmail.com,2005,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Local employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
KMR-040,Government Degree College Chadoora,Kashmir,Budgam,Chadoora,34.05,74.68,,,gdcchadoora@gmail.com,2010,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Local employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
KMR-041,Government Degree College Soibugh,Kashmir,Budgam,Soibugh,34.12,74.65,,,principalgdcsoibugh@gmail.com,2015,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Local employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
KMR-042,Government Degree College (Boys) Pulwama,Kashmir,Pulwama,Pulwama,33.872,74.896,,01933-241250,gdcpulwama@gmail.com,1980,General Degree,Yes,Limited,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Local employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
KMR-043,Government Women College Pulwama,Kashmir,Pulwama,Pulwama,33.872,74.896,,01933-242370,gdcwomenpulwama@gmail.com,1985,General Degree,Yes,Limited,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Local employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
KMR-044,Government Degree College Pulwama-3,Kashmir,Pulwama,Pulwama,33.872,74.896,,,gdcpulwama3@gmail.com,1990,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Local employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
KMR-045,Government Degree College Pulwama-4,Kashmir,Pulwama,Pulwama,33.872,74.896,,,gdcpulwama4@gmail.com,1995,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Local employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
KMR-046,Government Degree College Pulwama-5,Kashmir,Pulwama,Pulwama,33.872,74.896,,,gdcpulwama5@gmail.com,2000,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Local employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
KMR-047,Government Degree College Pulwama-6,Kashmir,Pulwama,Pulwama,33.872,74.896,,,gdcpulwama6@gmail.com,2005,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Local employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
KMR-048,Government Degree College Kupwara,Kashmir,Kupwara,Kupwara,34.527,74.247,,01955-252155,kcollege786@gmail.com,1980,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic labs",No,,Department library,Basic labs,Yes,"₹5,000-₹6,500",Local employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
KMR-049,Government Degree College Handwara,Kashmir,Kupwara,Handwara,34.404,74.273,,01955-262203,handwaracollege@yahoo.com,1985,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Local employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
KMR-050,Government Degree College Sogam,Kashmir,Kupwara,Sogam,34.45,74.2,,01955-233211,gdcsogam@yahoo.com,1990,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Border area employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
KMR-051,Government Degree College Tangdhar,Kashmir,Kupwara,Tangdhar,34.58,74.15,,,gdctangdhar@gmail.com,1995,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Border area employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
KMR-052,Government Women College Kupwara,Kashmir,Kupwara,Kupwara,34.527,74.247,,01955-252104,gwckupwara@gmail.com,1985,Women's College,Yes,No,"BA, B.Sc, B.Com",3 years,10+2 (Female only),Merit-based,English/Hindi/Urdu,"Library, Women facilities",Yes,"₹10,000-₹18,000",Women's library,Basic labs,Yes,"₹5,000-₹7,000",Women employment,JKSSB Teacher,Women business,"MA, M.Sc",J&K Higher Education Department
KMR-053,Government Degree College Vilgam,Kashmir,Kupwara,Vilgam,34.48,74.28,,,gdcvilgam1@gmail.com,2000,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Rural employment,JKSSB,Rural business,"MA, M.Sc",J&K Higher Education Department
KMR-054,Government Degree College Kralpora,Kashmir,Kupwara,Kralpora,34.5,74.22,,,kralporagdc@gmail.com,2005,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Rural employment,JKSSB,Rural business,"MA, M.Sc",J&K Higher Education Department
KMR-055,Government Degree College Langate,Kashmir,Kupwara,Langate,34.42,74.25,,,gdclangate@gmail.com,2010,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Rural employment,JKSSB,Rural business,"MA, M.Sc",J&K Higher Education Department
KMR-056,Government Degree College Ganderbal,Kashmir,Ganderbal,Ganderbal,34.231,74.785,,0194-2416854,principalgdcgbl1@gmail.com,1990,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Computer center",No,,Department library,Basic labs,Yes,"₹5,000-₹6,500",Local employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
KMR-057,Government Degree College Kangan,Kashmir,Ganderbal,Kangan,34.3,74.9,,0194-2418210,principalgdckangan1@yahoo.com,1995,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Tourism related,JKSSB,Tourism business,"MA, M.Sc",J&K Higher Education Department
KMR-058,Government Degree College Kulgam,Kashmir,Kulgam,Kulgam,33.64,75.017,,01931-260177,kulgamprincipal@gmail.com,1985,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Labs, Sports",No,,Department library,Basic labs,Yes,"₹5,000-₹7,000",Local employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
KMR-059,Government Degree College Killam,Kashmir,Kulgam,Killam,33.6,75.05,,01931-215628,principalgdckilam@gmail.com,1990,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Rural employment,JKSSB,Rural business,"MA, M.Sc",J&K Higher Education Department
KMR-060,Government Degree College D.H. Pora,Kashmir,Kulgam,D.H. Pora,33.68,75.08,,01931-210478,principalgdcdhpora@gmail.com,1995,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Rural employment,JKSSB,Rural business,"MA, M.Sc",J&K Higher Education Department
KMR-061,Government Degree College Frisal Homeshalibugh,Kashmir,Kulgam,Frisal Homeshalibugh,33.62,75.1,,,gdcfrisal@gmail.com,2000,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Rural employment,JKSSB,Rural business,"MA, M.Sc",J&K Higher Education Department
KMR-062,Government Degree College Rajpora,Kashmir,Kulgam,Rajpora,33.66,75.02,,,gdcrajpora@gmail.com,2005,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Rural employment,JKSSB,Rural business,"MA, M.Sc",J&K Higher Education Department
KMR-063,Government Degree College Shopian,Kashmir,Shopian,Shopian,33.717,74.833,,01933-260204,spncollege@hotmail.com,1985,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Yes,"₹5,000-₹6,500",Local employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
